Suburb;Fire_Station
KALAMUNDA;SOMERSET WEST
KALK BAY;FISH HOEK
KALKFONTEIN;KUILSRIVER
KALKSTEENFONTEIN;EPPING
KANONBERG;GOODWOOD
KELDERHOF;MACASSAR
KEMPENVILLE;BELLVILLE
KENILWORTH;WYNBERG
KENRIDGE;DURBANVILLE
KENSINGTON;BROOKLYN
KEWTOWN;EPPING
KHAYA;KHAYELITSHA
KHAYELITSHA;KHAYELITSHA
KILLARNEY GARDENS;MILNERTON
KING DAVID COUNTRY CLUB;GUGULETU
KINGSTON;BELLVILLE
KIRSTENHOF;LAKESIDE
KLEIN ZEVENWACHT;KUILSRIVER
KLEINBEGIN;KRAAIFONTEIN
KLEINBOSCH;GOODWOOD
KLEINBRON;KRAAIFONTEIN
KLEINVLEI TOWN;MFULENI
KLIPDAM;KUILSRIVER
KLIPHEUWEL HOUSING SCHEME;DURBANVILLE
KLIPKOP;BELLVILLE
KLOOFZICHT;KUILSRIVER
KOMMETJIE;KOMMETJIE ROAD
KRAAIFONTEIN;KRAAIFONTEIN
KRAAIFONTEIN EAST;KRAAIFONTEIN
KRAAIFONTEIN INDUSTRIA;KRAAIFONTEIN
KUILS RIVER COMMON;KUILSRIVER
KUILS RIVER SPORTS GROUNDS;KUILSRIVER
KUILSRIVIER GOLF COURSE;BRACKENFELL
KUILSRIVIER INDUSTRIA;KUILSRIVER
KUILSRIVIER SOUTH SMALLHOLDINGS;KUILSRIVER
KUYASA;KHAYELITSHA
LA CONCORDE;SOMERSET WEST
LA MONTAGNE;MACASSAR
LA ROCHELLE;BELLVILLE
LA SANDRA;SOMERSET WEST
LABIANCE;BELLVILLE
LAGOON BEACH;BROOKLYN
LAKESIDE;LAKESIDE
LAND EN ZEEZICHT;SOMERSET WEST
LANGA;EPPING
LANGEBERG HOOGTE;KRAAIFONTEIN
LANGEBERG RIDGE;KRAAIFONTEIN
LANGEBERG VILLAGE;DURBANVILLE
LANSDOWNE;WYNBERG
LAVENDER HILL;LAKESIDE
LEIDEN;BELHAR
LENTEGEUR;MITCHELLS PLAIN
LEONSDALE;EPPING
LETRU;KUILSRIVER
LILLYDALE;KUILSRIVER
LLANDUDNO;HOUT BAY
LOEVENSTEIN;BELLVILLE
LONGDOWN ESTATE;SOMERSET WEST
LOTUS RIVER;OTTERY
LOUCHARMANTE;KUILSRIVER
LOUMAR;BELLVILLE
LOURENSIA PARK;SOMERSET WEST
LWANDLE;STRAND
LYNN'S VIEW;SOMERSET WEST
MABILLE PARK;KUILSRIVER
MACASSAR;MACASSAR
MACASSAR BEACH;MACASSAR
MACASSAR VILLAGE;MACASSAR
MAITLAND;BROOKLYN
MAITLAND GARDEN VILLAGE;BROOKLYN
MALIBU VILLAGE;MFULENI
MALL INTERCHANGE;SOMERSET WEST
MALL MOTOR CITY;SOMERSET WEST
MALL TRIANGLE;SOMERSET WEST
MALMESBURY FARMS;ATLANTIS
MAMRE;ATLANTIS
MANDALAY;LANSDOWNE ROAD
MANDELA PARK;KHAYELITSHA
MANENBERG;GUGULETU
MANSFIELD INDUSTRIA;SIR LOWRYS PASS
MARCONI BEAM;MILNERTON
MARINDA PARK;KUILSRIVER
MARTINVILLE;SOMERSET WEST
MARVINPARK;MACASSAR
MATROOSFONTEIN;EPPING
MEADOWRIDGE;CONSTANTIA
MELKBOSCH STRAND;MELKBOSSTRAND
METRO;BROOKLYN
MEYERHOF;BELLVILLE
MFULENI;MFULENI
MIKPUNT;KRAAIFONTEIN
MIKRO PARK;KUILSRIVER
MILNERTON;MILNERTON
MILNERTON RIDGE;MILNERTON
MISSION GROUNDS;SIR LOWRYS PASS
MISTY CLIFFS;SIMONSTOWN
MITCHELLS PLAIN CBD;MITCHELLS PLAIN
MODDERDAM;BELHAR
MONTAGUE;GOODWOOD
MONTAGUE GARDENS;MILNERTON
MONTANA;EPPING
MONTANA EXTENSION;EPPING
MONTCHERE;SOMERSET WEST
MONTCLAIR;LANSDOWNE ROAD
MONTE SERENO;SOMERSET WEST
MONTE VISTA;GOODWOOD
MONTEVIDEO;GUGULETU
MONWABISI;KHAYELITSHA
MORGAN INDUSTRIA;BRACKENFELL
MORGANS VILLAGE;MITCHELLS PLAIN
MORGENSTER;BRACKENFELL
MORGENSTER HEIGHTS;BRACKENFELL
MORNINGSIDE;SIR LOWRYS PASS
MORNINGSTAR;DURBANVILLE
MOUILLE POINT;SEA POINT
MOUNTAINSIDE;STRAND
MOUNTAINSIDE ESTATE;STRAND
MOUNTAINSIDE EXT 2;STRAND
MOUNTVIEW;OTTERY
MOWBRAY;SALT RIVER
MUIZENBERG;LAKESIDE
MXOLISI PHETANI;LANSDOWNE ROAD
N1-STAD;GOODWOOD
NATURE'S VALLEY;SOMERSET WEST
NATURES VALLEY;DURBANVILLE
NERINA;DURBANVILLE
NEW MACASSAR;MACASSAR
NEW SCHEME;MACASSAR
NEW WOODLANDS;MITCHELLS PLAIN
NEWFIELDS;GUGULETU
NEWLANDS;WYNBERG
NIEUW MAASTRECHT-1;GOODWOOD
NIEUW MAASTRECHT-2;DURBANVILLE
NOMZAMO;STRAND
NONQUBELA;LANSDOWNE ROAD
NOOITGEDACHT;BELHAR
NOORDHOEK;KOMMETJIE ROAD
NORMANDIE ESTATE;BRACKENFELL
NORTHGATE;GOODWOOD
NORTHPINE;BRACKENFELL
NUTWOOD;SOMERSET WEST
NYANGA;GUGULETU
O'KENNEDYVILLE;BELLVILLE
OAKDALE;BELLVILLE
OAKDENE;KUILSRIVER
OAKGLEN;BELLVILLE
OBSERVATORY;SALT RIVER
OCEAN VIEW;KOMMETJIE ROAD
OKAVANGO PARK;BRACKENFELL
OLIVE GROVE;SIR LOWRYS PASS
ONVERWACHT - GORDON'S BAY;STRAND
ONVERWACHT - THE STRAND;STRAND
ONVERWACHT VILLAGE;SIR LOWRYS PASS
OOSTERZEE-BELLVILLE;BELLVILLE
ORANJEZICHT;ROELAND STREET
OTTERY;OTTERY
OUDE WESTHOF;DURBANVILLE
OUDEKRAAL;HOUT BAY
PAARDE VLEI;SOMERSET WEST
PAARDEN EILAND;BROOKLYN
PAARL FARMS;KRAAIFONTEIN
PANORAMA;GOODWOOD
PAREL VALLEI;SOMERSET WEST
PARELVALLEI KLEINHOEWES;SOMERSET WEST
PARKLANDS;MILNERTON
PARKWOOD;OTTERY
PAROW;GOODWOOD
PAROW EAST;BELLVILLE
PAROW GOLF COURSE;GOODWOOD
PAROW INDUSTRIA;BELLVILLE
PAROW NORTH;GOODWOOD
PAROW VALLEY;GOODWOOD
PEACOCK CLOSE;OTTERY
PEARL MARINA;SOMERSET WEST
PEARL RISE;SOMERSET WEST
PEERLESS PARK EAST;KRAAIFONTEIN
PEERLESS PARK NORTH;KRAAIFONTEIN
PEERLESS PARK WEST;KRAAIFONTEIN
PELIKAN HEIGHTS;MITCHELLS PLAIN
PELIKAN PARK;OTTERY
PELLA;ATLANTIS
PENHILL;MFULENI
PENLYN ESTATE;OTTERY
PETROSA TANK FARM;MILNERTON
PHILADELPHIA;ATLANTIS
PHILIPPI;OTTERY
PHILIPPI PARK;GUGULETU
PHOENIX;MILNERTON
PINATI ESTATE;OTTERY
PINEHURST;KRAAIFONTEIN
PINELANDS;EPPING
PLATTEKLOOF 1;GOODWOOD
PLATTEKLOOF 2;GOODWOOD
PLATTEKLOOF 3;GOODWOOD
PLATTEKLOOF GLEN;GOODWOOD
PLUMSTEAD;WYNBERG
PORTLAND;MITCHELLS PLAIN
PROTEA HEIGHTS;BRACKENFELL
PROTEA PARK - GORDON'S BAY;STRAND
PROTEA PARK - WESFLEUR;ATLANTIS
PROTEA VALLEY;DURBANVILLE
PROTEA VILLAGE;BRACKENFELL
PROTEAVILLE;DURBANVILLE
RACING PARK;MILNERTON
RAVENSMEAD;BELLVILLE
RETREAT;LAKESIDE
RICHMOND;GOODWOOD
RICHMOND ESTATE;GOODWOOD
RICHMOND PARK;MILNERTON
RICHWOOD;MILNERTON
RIDGEWORTH;BELLVILLE
RIVERGATE;MILNERTON
RIVERSIDE;MACASSAR
RIVERTON ELSIES RIVER;GOODWOOD
ROBBEN ISLAND;MELKBOSSTRAND
ROBINVALE;ATLANTIS
ROCKLANDS;MITCHELLS PLAIN
ROME GLEN;SIR LOWRYS PASS
RONDEBOSCH;SALT RIVER
RONDEBOSCH EAST;WYNBERG
RONDEVLEI PARK;MITCHELLS PLAIN
ROOSENDAL;BELHAR
ROSEBANK;SALT RIVER
ROSEDALE - DURBANVILLE;DURBANVILLE
ROSEDALE - KLEIN VLEI;MFULENI
ROSENDAL;DURBANVILLE
ROSENPARK;DURBANVILLE
ROTTERDAM;BELHAR
ROUNDHAY;SOMERSET WEST
ROUXVILLE;KUILSRIVER
ROYAL ASCOT;MILNERTON
RUGBY;BROOKLYN
RUITERSHOOGTE;DURBANVILLE
RUSTDAL;KUILSRIVER
RUWARI;BRACKENFELL
RUYTERWACHT;EPPING
RYLANDS;OTTERY
SABATA DALINDYEBO SQUARE;KHAYELITSHA
SACK'S CIRCLE INDUSTRIA;BELLVILLE
SALT RIVER;SALT RIVER
SAND INDUSTRIA;GUGULETU
